,word,frequence,number_of_edges
822,distraction,1230299.0,1.0
823,incapacitated,428940.0,4.0
824,sojourn,456479.0,1.0
825,insane,4121922.0,2.0
826,delicately,492625.0,1.0
827,bozo,237549.0,1.0
828,bundling,516208.0,6.0
829,slanting,108396.0,8.0
830,analog,12726931.0,2.0
831,project,235262594.0,11.0
832,unrealized,588985.0,1.0
833,ablated,42963.0,1.0
834,thrive,1822797.0,1.0
835,oxidize,115133.0,1.0
836,synchronizing,471691.0,8.0
837,untouched,997170.0,2.0
838,demoniac,40725.0,1.0
839,lass,668332.0,1.0
840,last,417601616.0,21.0
841,provocatively,67205.0,1.0
842,connection,61302455.0,6.0
843,retarded,1500950.0,5.0
844,lash,809951.0,10.0
845,bell,25283918.0,6.0
846,provos,35772.0,1.0
847,aforethought,49524.0,1.0
848,adaptation,5314230.0,4.0
849,primordium,33637.0,1.0
850,belt,17247395.0,5.0
851,unarguably,18444.0,1.0
852,extravagant,645154.0,2.0
853,capsid,224126.0,1.0
854,treatment,90001988.0,3.0
855,counselling,4167817.0,2.0
856,mildness,46181.0,2.0
857,adaptable,1057129.0,1.0
858,moderation,2077347.0,4.0
859,awake,3230337.0,5.0
860,pacemaker,573772.0,1.0
861,mournful,242205.0,2.0
862,expanded,13932764.0,13.0
863,empirical,5783958.0,1.0
864,admire,2196307.0,12.0
865,cagey,66504.0,3.0
866,pressed,5362732.0,19.0
867,looter,52187.0,2.0
868,agitation,890368.0,7.0
869,xian,582795.0,1.0
870,enlace,203869.0,1.0
871,barbecuing,66547.0,2.0
872,outermost,309687.0,1.0
873,ugliness,249418.0,2.0
874,foundational,543288.0,1.0
875,flooded,1761295.0,8.0
876,cryptically,34155.0,2.0
877,nickname,8226050.0,4.0
878,climb,5697476.0,5.0
879,infamous,2123711.0,1.0
880,looted,375671.0,10.0
881,accusative,145450.0,2.0
882,salve,423303.0,6.0
883,swilling,71230.0,3.0
884,lady,29348297.0,4.0
885,depravity,276049.0,4.0
886,comprehensible,364035.0,1.0
887,closedown,23085.0,1.0
888,indonesian,5241698.0,1.0
889,emergency,42770237.0,1.0
890,couple,43578199.0,7.0
891,affaire,158856.0,1.0
892,emergence,3521074.0,4.0
893,abduct,126225.0,1.0
894,marquee,1137374.0,2.0
