536,1085,76,1062,135,92
537,10000,134,4823,1278,1566
538,409,78,71,100,317
539,691,77,3059,38,356
540,2958,2829,540,1110,89
541,4801,101,3407,122,4023
542,2820,1053,112,85,96
543,340,2065,73,677,43
544,78,21,2706,2235,128
545,917,7495,2740,256,51
546,3451,88,6894,86,38
547,9269,446,88,90,334
548,337,316,495,682,1775
549,10000,649,555,74,90
550,8642,2090,2447,1169,1978
551,10000,3942,168,886,337
552,10000,4545,3286,3233,563
553,10000,1473,60,1744,85
554,281,6099,60,87,147
555,10000,2349,2928,63,76
556,10000,4070,4556,4404,475
557,85,2651,981,2154,111
558,6650,2299,3017,2005,444
559,6380,91,73,100,175
560,10000,3595,1795,102,94
561,10000,10000,90,74,1506
562,1387,4507,201,1076,138
563,10000,1552,1362,300,148
564,133,307,135,108,739
565,10000,269,2221,204,247
566,6259,4580,94,182,110
567,1489,402,10000,175,56
568,5010,122,95,679,447
569,10000,625,218,3301,76
570,4585,12,436,466,91
571,9753,1636,128,1366,2980
572,998,7560,1283,647,54
573,10000,6612,187,1336,55
574,3900,161,1059,77,64
575,10000,3780,285,84,166
576,2650,3612,1266,583,578
577,8251,80,2367,816,699
578,3025,3491,846,68,1091
579,10000,179,83,45,43
580,5045,134,1274,103,2806
581,10000,7350,1608,73,53
582,1041,424,2395,3257,146
583,61,93,131,1261,569
584,10000,403,283,731,145
585,203,10000,3772,599,140
586,10000,2138,229,495,121
587,10000,216,59,43,1281
588,7243,43,10000,723,90
589,10000,10000,557,1857,90
590,385,9334,5747,1129,151
591,67,2023,859,38,41
592,10000,982,1190,2032,89
593,3605,2405,940,42,526
594,10000,7644,1984,58,90
595,8188,2152,4017,1700,1720
596,777,6306,7261,671,457
597,9822,170,17,300,1324
598,10000,2072,1929,2485,145
599,5486,5298,749,73,177
600,66,139,990,667,49
601,447,4832,169,63,6
602,7683,181,75,71,393
603,10000,1613,1707,924,46
604,174,367,82,298,124
605,225,4257,1730,1641,44
606,10000,7556,108,715,1200
607,1264,8204,106,161,107
608,300,247,364,1591,133
609,10000,2676,5984,1460,139
610,10000,216,1745,774,245
611,7374,1122,126,316,3534
612,243,7609,55,73,823
613,10000,807,103,207,3773
614,10000,2707,68,1521,1587
615,10000,5214,94,118,344
616,9205,975,1719,3026,124
617,336,8319,1249,102,66
618,10000,10000,2372,234,654
619,10000,616,80,3568,706
620,369,5830,127,1026,86
621,1762,414,7218,72,238
622,4713,190,10000,5559,1859
623,80,6679,84,1167,258
624,5122,10000,400,229,834
625,99,10000,96,114,465
626,10000,353,3949,2705,325
627,4697,149,299,987,116
628,10000,604,686,127,1132
629,8961,10000,101,318,634
630,10000,10000,8327,128,296
631,5996,3150,1868,443,91
632,5371,8333,1215,1289,375
633,106,568,3208,63,247
634,10000,4555,108,68,75
635,9141,1314,197,152,1599
636,10000,5229,5242,3213,675
637,850,308,43,73,101
638,10000,147,151,199,99
639,308,6142,736,116,586
640,252,9075,108,111,614
641,10000,4468,1621,340,1561
642,1284,3204,6241,48,79
643,365,1634,50,143,449
644,10000,3022,98,74,1275
645,10000,92,4109,188,66
646,10000,8900,4282,513,3390
647,232,2359,1454,48,91
648,10000,1457,2370,691,88
649,57,365,1319,328,530
650,5691,3196,1916,84,172
651,10000,4658,4117,5527,892
652,2011,252,202,59,743
653,9094,350,99,1473,1303
654,393,450,1220,945,118
655,5728,43,3270,202,161
656,10000,4963,1264,1550,66
657,4271,2735,141,358,108
658,4276,64,593,176,1675
659,6667,105,3715,2406,483
660,10000,4608,498,1136,96
661,7362,1258,550,130,6053
662,3396,2554,1418,381,93
663,10000,1006,1780,60,46
664,311,10000,197,1275,1208
665,10000,8443,3738,76,61
666,3700,10000,1878,115,147
667,10000,1216,1183,277,117
668,5201,1524,32,667,62
669,8015,3349,112,311,679
670,10000,4394,220,1001,948
671,10000,163,118,1375,268
672,10000,415,4916,1860,3171
673,1628,1437,252,65,253
674,10000,4618,10000,1849,1182
675,10000,1631,209,2197,753
676,5048,5609,32,106,61
677,403,328,2551,96,121
678,6982,247,119,40,59
679,1109,47,249,951,718
680,75,4386,142,57,67
681,10000,67,4680,30,1955
682,3901,2693,448,3006,558
683,7084,405,159,26,1915
684,2462,27,2587,69,1261
685,5604,184,2323,2093,93
686,10000,1591,173,2188,196
687,2914,3529,1156,94,631
688,10000,3868,1323,59,3947
689,10000,140,3815,826,669
690,253,9792,751,5264,839
691,141,213,1971,27,142
692,5853,85,95,2075,359
693,10000,5617,2684,82,929
694,10000,4105,88,573,103
695,456,606,155,122,394
696,431,7202,92,47,146
697,2467,690,819,794,211
698,5284,2610,8239,2832,58
699,5155,103,63,112,1311
700,285,97,3096,302,1158
701,226,10000,540,128,2586
702,10000,7193,758,44,99
703,200,2407,964,23,651
704,90,5874,3085,617,1133
705,683,1239,2417,1078,59
706,10000,5172,30,1553,1724
707,10000,100,95,39,120
708,549,1896,2105,521,2347
709,535,10000,3550,507,1094
710,10000,5186,56,137,1147
711,267,4747,915,72,809
712,10000,1291,1164,910,485
713,144,4868,4954,1028,1895
714,10000,1283,547,1062,61
715,474,238,67,2863,96
716,274,766,1014,1009,20
717,2345,7412,496,103,88
718,1916,6139,381,254,774
719,10000,175,137,1122,90
720,1949,88,48,262,938
721,3075,166,10000,1819,199
722,403,2688,60,439,342
723,318,3984,210,416,60
724,2465,708,68,83,44
725,3178,1509,117,161,77
726,10000,6522,145,3007,1775
727,58,1924,45,3938,199
728,1063,1330,84,48,23
729,3548,2284,1313,1022,1246
730,1342,2058,164,47,30
731,10000,8026,1161,169,100
732,1202,245,55,443,988
733,10000,102,388,37,1331
734,1007,2336,21,122,280
735,9944,5425,1194,582,74
736,603,613,2580,918,138
737,795,9799,368,54,93
738,187,3166,606,47,2102
739,196,2179,169,1356,132
740,3830,131,1451,85,84
741,10000,10000,55,45,371
742,10000,2296,199,61,1435
743,1419,3328,2317,397,61
744,10000,471,1817,360,123
745,558,596,1385,123,193
746,10000,58,1840,1147,701
747,1486,9002,111,1647,174
748,7956,508,764,104,210
749,10000,4377,409,116,97
750,5413,147,649,17,1320
751,1643,1992,35,562,150
752,8718,6235,168,1710,109
753,10000,4605,1432,210,70
754,145,3782,1842,2261,335
755,884,2482,365,33,658
756,150,278,2152,282,174
757,10000,8765,118,2573,2668
758,4152,45,721,186,309
759,7709,127,1975,4295,62
760,4023,984,1701,1532,1093
761,8927,2534,3120,70,724
762,10000,4685,129,37,1819
763,7952,3696,3990,2300,17
764,10000,4434,1437,126,654
765,10000,5564,1517,123,78
766,808,3360,91,2043,1294
767,10000,6295,415,74,51
768,3905,103,61,95,2589
769,6444,5677,108,195,1620
770,341,1354,1104,1444,1413
771,4899,2299,55,105,1867
772,10000,73,91,126,197
773,10000,3247,110,50,550
774,10000,238,4572,71,1615
775,10000,9029,108,40,824
776,110,9993,295,57,120
777,115,6471,1678,1627,1021
778,10000,369,24,255,80
779,2056,53,137,59,1961
780,264,3793,5866,101,31
781,350,2441,41,418,173
782,9948,1343,562,2428,112
783,10000,5568,3090,458,95
784,10000,10000,100,104,47
785,10000,534,2518,56,1343
786,299,4447,439,950,111
787,10000,10000,3565,111,42
788,10000,2883,139,1194,60
789,125,193,140,240,510
790,1802,2002,241,215,1273
791,7600,4406,1502,1939,34
792,194,6340,1869,26,2374
793,10000,241,3162,1657,555
794,115,2288,64,972,768
795,10000,22,355,1091,82
796,10000,126,2354,87,364
797,141,115,9476,88,73
798,10000,969,1243,1081,90
799,2707,7645,120,3563,338
800,3363,197,2212,5019,2779
801,210,272,139,148,88
802,8487,4867,948,114,3731
803,10000,7093,2279,111,66
804,110,6598,225,162,429
805,215,5415,1870,690,104
806,10000,256,119,986,809
807,2742,142,665,337,839
808,10000,121,8572,4041,100
809,1204,143,3107,52,769
810,7785,532,1661,684,2026
811,10000,1696,1228,1680,1317
812,1850,2755,6739,686,5952
813,2306,1269,9139,38,64
814,27,100,2265,75,541
815,8680,1598,1921,772,1542
816,10000,1996,557,1632,87
817,4054,631,1829,92,1902
818,155,3783,1846,102,1042
819,7625,191,83,2803,608
820,10000,6591,1047,28,4289
821,4044,3309,378,412,92
822,410,342,3204,45,116
823,6763,2149,3618,2094,301
824,3756,10000,223,99,310
825,9295,6330,79,2362,405
826,5906,4524,2196,867,155
827,559,4395,5817,574,1390
828,10000,6908,1630,1377,120
829,4968,34,2661,2887,96
830,7965,6419,2206,271,2580
831,10000,2072,1756,653,46
832,10000,6499,1039,325,284
833,5497,6576,192,106,1160
834,3064,5386,626,167,80
835,1019,166,4591,4394,733
836,3496,10000,426,82,110
837,10000,574,357,203,347
838,4421,3794,19,650,58
839,5356,7401,5414,194,2350
840,5289,213,5232,71,586
841,10000,1221,28,479,85
842,10000,10000,3527,1447,2458
843,10000,111,95,2308,3168
844,160,2118,61,86,73
845,125,559,2822,36,55
846,5193,5119,2579,1214,749
847,219,1891,1231,130,1621
848,1756,6265,1630,197,115
849,1063,5068,781,1678,122
850,8553,67,9028,2022,58
851,10000,253,95,107,94
852,163,5818,888,616,52
853,1888,171,1042,1399,69
854,1368,1600,668,844,179
855,6184,7699,81,453,2322
856,6104,518,143,2660,83
857,4371,3586,102,72,667
858,10000,10000,148,89,36
859,194,346,958,317,43
860,1140,4038,805,660,80
861,57,1088,962,400,1355
862,446,124,425,73,1213
863,2262,7863,1747,528,360
864,6615,5534,8993,30,17
865,300,982,961,1528,124
866,321,3635,6,745,637
867,10000,10000,193,283,88
868,7921,1581,845,258,1137
869,10000,16,4323,795,820
870,1603,5500,21,33,1325
871,10000,2481,3282,109,80
872,4777,499,125,148,2375
873,10000,10000,2394,759,615
874,3727,3688,1579,152,814
875,4970,1435,77,79,667
876,10000,1586,1316,41,127
877,7535,62,245,606,136
878,258,9801,5731,83,436
879,10000,193,1460,114,121
880,10000,1442,2015,242,738
881,10000,5267,2753,51,595
882,10000,10000,5034,91,218
883,218,10000,643,272,151
884,2196,54,72,658,1761
885,379,7489,251,853,81
886,10000,105,127,184,113
887,10000,1124,1181,1027,1074
888,216,51,107,2990,23
889,9811,6598,131,2335,2599
890,3281,797,2632,1657,288
891,6447,1835,1453,1523,15
892,145,1249,907,1223,1547
893,3596,1242,5272,631,136
894,4160,4941,207,306,931
895,10000,6148,1701,162,727
896,701,998,148,937,75
897,10000,2260,1138,79,1319
898,4466,1533,112,3567,786
899,2544,2881,1716,64,92
900,10000,3709,2070,1235,182
901,10000,161,1189,306,3930
902,10000,111,171,80,78
903,10000,10000,181,108,75
904,461,1809,624,661,2192
905,8572,750,139,69,2834
906,10000,449,7837,85,91
907,465,111,2576,83,69
908,10000,9936,1574,834,283
909,120,10000,31,3601,66
910,4293,143,4425,281,135
911,9711,807,1478,102,114
912,133,340,268,94,145
913,10000,586,79,133,102
914,129,57,3552,869,61
915,225,10000,3064,843,82
916,54,432,2545,275,49
917,3685,135,97,120,16
918,289,114,1156,69,35
919,138,6086,650,146,89
920,10000,3102,108,1938,2048
921,246,6325,542,54,1902
922,10000,1028,6,213,1871
923,719,4986,1162,141,415
924,10000,253,4229,61,11
925,8591,110,108,3277,46
926,8176,5075,1074,1584,973
927,2647,1059,593,22,142
928,2502,109,1971,242,1479
929,1497,1633,34,1205,106
930,216,165,130,723,94
931,10000,7094,137,1365,120
932,10000,511,165,6,301
933,110,67,37,5727,1035
934,248,10000,154,14,153
935,5834,7235,114,1241,203
936,8698,5169,1053,142,3313
937,5901,951,44,70,4485
938,3420,2202,58,144,121
939,4594,229,110,1623,110
940,324,1157,50,53,80
941,8290,7408,2031,5612,207
942,1050,223,52,399,1567
943,135,2507,62,98,214
944,982,136,1952,607,2776
945,3166,4311,69,109,714
946,10000,10000,58,1589,91
947,128,85,3633,70,913
948,10000,4785,2775,587,67
949,10000,2160,3492,1334,125
950,1383,2457,283,855,53
951,259,2371,1017,162,65
952,10000,3973,50,1290,84
953,244,4821,101,228,705
954,4557,154,742,62,208
955,10000,674,69,1814,41
956,59,4299,1676,90,8
957,8519,10000,958,217,73
958,10000,59,538,912,174
959,9206,46,3334,711,553
960,42,346,75,2197,36
961,3471,106,713,227,51
962,10000,10000,5107,572,51
963,3739,4262,2438,1453,164
964,2399,115,3717,259,1144
965,551,6117,1314,87,390
966,10000,79,1063,912,544
967,105,2379,2431,499,34
968,10000,90,1695,1095,43
969,10000,145,147,95,1965
970,10000,6748,220,2866,2445
971,152,10000,2600,62,154
972,147,3230,911,250,105
973,6488,202,101,92,103
974,9376,94,1722,213,172
975,10000,293,746,2128,1533
976,1601,4949,281,1562,1687
977,10000,4083,1151,15,317
